ts:2026-02-03T13:00:26+01:00 t:9.63 h:81 b:2.394
ts:2026-02-03T13:30:31+01:00 t:9.66 h:82 b:2.394
ts:2026-02-03T14:00:30+01:00 t:9.75 h:82 b:2.393
ts:2026-02-03T14:30:32+01:00 t:9.80 h:82 b:2.393
ts:2026-02-03T15:00:28+01:00 t:9.77 h:82 b:2.426
ts:2026-02-03T15:30:26+01:00 t:9.80 h:83 b:2.426
ts:2026-02-03T16:00:30+01:00 t:9.83 h:83 b:2.391
ts:2026-02-03T16:30:32+01:00 t:9.83 h:83 b:2.391
ts:2026-02-03T17:00:26+01:00 t:9.87 h:83 b:2.407
ts:2026-02-03T17:30:33+01:00 t:9.87 h:83 b:2.407
ts:2026-02-03T18:00:26+01:00 t:9.86 h:83 b:2.394
ts:2026-02-03T18:30:33+01:00 t:9.88 h:83 b:2.394
ts:2026-02-03T19:00:32+01:00 t:9.90 h:83 b:2.406
ts:2026-02-03T19:30:28+01:00 t:9.88 h:83 b:2.406
ts:2026-02-03T20:00:27+01:00 t:9.90 h:83 b:2.394
ts:2026-02-03T20:30:28+01:00 t:9.89 h:83 b:2.394
ts:2026-02-03T21:00:29+01:00 t:9.90 h:83 b:2.394
ts:2026-02-03T21:30:29+01:00 t:9.90 h:83 b:2.394
ts:2026-02-03T22:00:32+01:00 t:9.90 h:83 b:2.429
ts:2026-02-03T22:30:29+01:00 t:9.89 h:83 b:2.429
ts:2026-02-03T23:00:27+01:00 t:9.90 h:83 b:2.397
ts:2026-02-03T23:30:33+01:00 t:9.91 h:83 b:2.397
ts:2026-02-04T00:00:26+01:00 t:9.91 h:83 b:2.399
ts:2026-02-04T00:30:27+01:00 t:9.91 h:83 b:2.392
ts:2026-02-04T01:00:26+01:00 t:9.90 h:83 b:2.392
ts:2026-02-04T01:30:28+01:00 t:9.93 h:83 b:2.425
ts:2026-02-04T02:00:30+01:00 t:9.91 h:83 b:2.425
ts:2026-02-04T02:30:29+01:00 t:9.91 h:83 b:2.393
ts:2026-02-04T03:00:27+01:00 t:9.92 h:83 b:2.393
ts:2026-02-04T03:30:29+01:00 t:9.90 h:83 b:2.428
ts:2026-02-04T04:00:27+01:00 t:9.93 h:83 b:2.428
ts:2026-02-04T04:30:32+01:00 t:9.94 h:84 b:2.390
ts:2026-02-04T05:00:32+01:00 t:9.91 h:84 b:2.390
ts:2026-02-04T05:30:33+01:00 t:9.91 h:84 b:2.394
ts:2026-02-04T06:00:29+01:00 t:9.91 h:84 b:2.394
ts:2026-02-04T06:30:28+01:00 t:9.92 h:84 b:2.393
ts:2026-02-04T07:00:32+01:00 t:9.92 h:84 b:2.393
ts:2026-02-04T07:30:32+01:00 t:9.91 h:84 b:2.392
ts:2026-02-04T08:00:27+01:00 t:9.95 h:84 b:2.392
ts:2026-02-04T08:30:27+01:00 t:9.95 h:84 b:2.425
ts:2026-02-04T09:00:28+01:00 t:9.94 h:84 b:2.425
ts:2026-02-04T09:30:32+01:00 t:9.95 h:84 b:2.392
ts:2026-02-04T10:00:32+01:00 t:9.93 h:84 b:2.392
ts:2026-02-04T10:30:27+01:00 t:9.91 h:84 b:2.387
ts:2026-02-04T11:00:27+01:00 t:9.94 h:84 b:2.387
ts:2026-02-04T11:30:27+01:00 t:9.95 h:84 b:2.386
ts:2026-02-04T12:00:32+01:00 t:9.97 h:84 b:2.386
ts:2026-02-04T12:30:27+01:00 t:9.94 h:84 b:2.385
ts:2026-02-04T13:00:32+01:00 t:9.95 h:84 b:2.385
ts:2026-02-04T13:30:33+01:00 t:9.95 h:84 b:2.423
